Timestamp,language,problem
10/24/2022 15:15:13,Python,Readability
10/24/2022 09:15:49,Python,Bulbs
10/24/2022 17:16:24,Python,Hello
10/24/2022 14:01:42,C,Runoff
10/24/2022 12:45:18,C,Cash
10/24/2022 12:49:57,C,Runoff
10/24/2022 15:54:39,Python,Bulbs
10/24/2022 15:56:39,Scratch,Hello
10/24/2022 10:06:18,Python,Cash
10/24/2022 11:27:37,Python,Credit
10/24/2022 15:56:17,C,Hello
10/24/2022 17:48:07,Scratch,Scratch
10/24/2022 14:37:49,Python,Runoff
10/24/2022 14:00:39,Scratch,Bulbs
10/24/2022 10:16:07,Scratch,Readability
10/24/2022 17:13:54,Python,Filter
10/24/2022 13:56:16,Python,Readability
10/24/2022 10:19:01,C,Filter
10/24/2022 14:54:07,Scratch,Mario
10/24/2022 13:28:43,Python,Hello
10/24/2022 08:00:26,Python,Readability
10/24/2022 11:49:34,Python,Cash
10/24/2022 13:51:58,Python,DNA
10/24/2022 16:02:57,Scratch,Scratch
10/24/2022 17:18:20,Python,Mario
10/24/2022 09:32:37,Python,Hello
10/24/2022 14:06:06,C,Scratch
10/24/2022 13:39:03,C,Scratch
10/24/2022 10:40:56,C,Credit
10/24/2022 12:27:26,Python,Cash
10/24/2022 09:19:32,Python,Filter
10/24/2022 11:32:22,Scratch,Filter
10/24/2022 16:59:59,Python,Scratch
10/24/2022 10:41:11,Scratch,Credit
10/24/2022 09:56:25,Python,Scratch
10/24/2022 11:12:06,Scratch,Hello
10/24/2022 16:27:24,C,Hello
10/24/2022 12:32:11,C,DNA
10/24/2022 10:25:38,Python,Hello
10/24/2022 13:46:34,Python,Cash
10/24/2022 17:11:21,Python,Hello
10/24/2022 16:07:03,C,DNA
10/24/2022 16:11:35,Python,Scratch
10/24/2022 13:02:53,Scratch,DNA
10/24/2022 12:21:19,Python,DNA
10/24/2022 09:24:37,Scratch,Readability
10/24/2022 12:16:07,Python,Bulbs
10/24/2022 13:49:12,Scratch,Runoff
10/24/2022 10:31:08,C,Scratch
10/24/2022 14:58:22,Scratch,Mario
10/24/2022 11:53:41,C,Filter
10/24/2022 15:25:12,Python,Hello
10/24/2022 16:28:54,Python,Credit
10/24/2022 11:45:55,Python,Filter
10/24/2022 08:21:20,Scratch,Filter
10/24/2022 16:40:59,C,Bulbs
10/24/2022 13:26:09,Python,Filter
10/24/2022 17:47:52,Scratch,Hello
10/24/2022 12:00:53,Python,Scratch
10/24/2022 12:58:07,Python,DNA
10/24/2022 08:31:42,Python,Bulbs
10/24/2022 15:21:37,Scratch,Mario
10/24/2022 16:30:30,C,Cash
10/24/2022 17:43:24,C,Filter
10/24/2022 08:29:36,C,Filter
10/24/2022 10:28:13,Python,Mario
10/24/2022 08:54:55,Python,Filter
10/24/2022 13:57:33,C,DNA
10/24/2022 13:57:00,Python,Filter
10/24/2022 13:03:55,Python,Readability
10/24/2022 09:29:27,Python,Credit
10/24/2022 17:49:11,C,Bulbs
10/24/2022 12:04:54,Scratch,Runoff
10/24/2022 08:43:58,C,Scratch
10/24/2022 11:37:45,C,Cash
10/24/2022 10:46:26,C,Mario
10/24/2022 16:37:15,Scratch,Runoff
10/24/2022 11:58:04,Python,Readability
10/24/2022 14:42:55,C,Cash
10/24/2022 10:05:06,C,Readability
10/24/2022 09:58:04,Scratch,Credit
10/24/2022 13:40:44,Scratch,Filter
10/24/2022 15:13:15,Scratch,Scratch
10/24/2022 09:23:00,Scratch,Scratch
10/24/2022 09:51:18,Scratch,Readability
10/24/2022 10:12:13,Scratch,Credit
10/24/2022 14:19:14,Scratch,Filter
10/24/2022 14:44:45,C,Hello
10/24/2022 14:12:42,C,Filter
10/24/2022 16:55:25,C,Filter
10/24/2022 14:35:36,Scratch,DNA
10/24/2022 10:47:06,Python,Mario
10/24/2022 17:29:53,Scratch,Readability
10/24/2022 17:47:49,Python,DNA
10/24/2022 15:55:45,Scratch,Cash
10/24/2022 12:53:09,Python,Scratch
10/24/2022 09:34:39,Python,DNA
10/24/2022 12:26:21,Python,Cash
10/24/2022 14:53:57,Python,Credit
10/24/2022 16:59:54,Python,Mario
10/24/2022 16:52:32,C,Bulbs
10/24/2022 12:42:11,Python,Readability
10/24/2022 13:01:45,Scratch,Credit
10/24/2022 17:24:17,C,Runoff
10/24/2022 12:23:37,Scratch,Filter
10/24/2022 16:53:39,Scratch,Scratch
10/24/2022 16:40:01,Scratch,DNA
10/24/2022 16:09:31,C,Runoff
10/24/2022 13:21:23,C,Filter
10/24/2022 12:25:45,Python,Cash
10/24/2022 14:43:04,Python,Hello
10/24/2022 17:39:54,Python,Filter
10/24/2022 14:01:18,Python,DNA
10/24/2022 12:55:54,Python,Readability
10/24/2022 12:11:48,C,Scratch
10/24/2022 13:44:39,C,Hello
10/24/2022 11:22:13,C,Scratch
10/24/2022 16:48:52,Python,Cash
10/24/2022 17:33:02,Scratch,Readability
10/24/2022 09:49:48,C,Readability
10/24/2022 12:08:28,Python,Mario
10/24/2022 13:30:09,C,Hello
10/24/2022 10:18:15,Python,Credit
10/24/2022 08:59:33,Scratch,Readability
10/24/2022 10:17:55,Scratch,DNA
10/24/2022 09:52:03,C,Cash
10/24/2022 13:10:34,Python,DNA
10/24/2022 16:01:06,Python,Mario
10/24/2022 08:56:07,Python,DNA
10/24/2022 10:04:36,C,Filter
10/24/2022 16:57:07,C,Cash
10/24/2022 08:58:33,C,Mario
10/24/2022 13:31:52,C,Scratch
10/24/2022 10:09:22,Scratch,Filter
10/24/2022 12:06:30,Scratch,Filter
10/24/2022 16:12:04,Python,Readability
10/24/2022 15:48:23,Python,Cash
10/24/2022 09:05:47,Scratch,Runoff
10/24/2022 11:46:57,Scratch,Scratch
10/24/2022 12:49:03,Scratch,Runoff
10/24/2022 10:51:32,C,Mario
10/24/2022 09:21:59,C,Credit
10/24/2022 15:26:12,Python,Cash
10/24/2022 16:33:16,Python,Credit
10/24/2022 12:12:50,Python,Readability
10/24/2022 16:15:55,C,Scratch
10/24/2022 12:48:57,Scratch,Cash
10/24/2022 11:36:04,Python,Runoff
10/24/2022 17:54:48,C,Mario
10/24/2022 12:50:08,C,Runoff
10/24/2022 09:05:08,C,Readability
10/24/2022 13:15:14,Python,Runoff
10/24/2022 16:31:56,Scratch,Readability
10/24/2022 15:19:38,Python,Hello
10/24/2022 17:49:48,Python,DNA
10/24/2022 09:27:51,Scratch,Credit
10/24/2022 15:51:53,Scratch,Bulbs
